sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number
34167,Lacuna,"1.0,1!bidmachine.io,669,1,,,!ushareit.com,LCedebe62ce16c15c0,1,,,!dauup.com,34167,1,,,",255100,9300,0.036456,8700,0.034104,600,0.0023,245800,0.9635,2646
34104,Smaato,"1.0,1!chartboost.com,61093890da1f5607a4dcc91e,1,,,!smaato.com,1100057440,1,,,!dauup.com,34104,1,,,",255100,2700,0.010584,1400,0.005488,1300,0.005,252400,0.9894,2647
34102,PubNative,"1.0,1!pubnative.net,1009387,1,,,!dauup.com,34102,1,,,",254800,600,0.002355,400,0.00157,200,0.0007,254200,0.9976,2648
34102,PubNative,"1.0,1!pubnative.net,1008978,1,,,!dauup.com,34102,1,,,",254600,300,0.001178,300,0.001178,0,0.0,254300,0.9988,2649
34103,InMobi,"1.0,1!inmobi.com,ad911aac2364463682decff2a67077e9,1,,,!dauup.com,34103,1,,,",254600,1400,0.005499,1300,0.005106,100,0.0003,253200,0.9945,2650
34102,PubNative,"1.0,1!pubnative.net,1009188,1,,,!dauup.com,34102,1,,,",254500,2500,0.009823,1400,0.005501,1100,0.0043,252000,0.9901,2651
34102,PubNative,"1.0,1!anzu.io,5da71035357df20011c043d8,1,,,!pubnative.net,1017230,1,,,!dauup.com,34102,1,,,",254300,1000,0.003932,500,0.001966,500,0.0019,253300,0.996,2652
34167,Lacuna,"1.0,1!bidmachine.io,302,1,,,!ushareit.com,LCedebe62ce16c15c0,1,,,!dauup.com,34167,1,,,",254200,1300,0.005114,1300,0.005114,0,0.0,252900,0.9948,2653
34199,Mindtos,"1.0,1!vungle.com,6364b12e3ad6c7001711d812,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,,",254000,2300,0.009055,2300,0.009055,0,0.0,251700,0.9909,2654
34109,Displayio,"1.0,1!fyber.com,225378,1,,,!pubeasy.io,110668,1,,,!display.io,232020,1,,,!dauup.com,34109,1,,,",253900,13700,0.053958,13200,0.051989,500,0.0019,240200,0.946,2655
34211,Illumin,"1.0,1!vungle.com,5b2aad55ec47af23be0124fc,1,,,!admanmedia.com,20,1,,,!dauup.com,34211,1,,,",253500,1000,0.003945,800,0.003156,200,0.0007,252500,0.996,2656
34219,,"1.0,1!fyber.com,217450,1,,,!bidease.com,bidease_seller_28,1,,,!dauup.com,34219,1,,,",253500,1600,0.006312,1300,0.005128,300,0.0011,251900,0.9936,2657
