seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
226769,fyber.com,,34105,Digital Turbine,1,1,1,117300,1900,900,1000,115400,0.016198,1,"1.0,1!fyber.com,226769,1,,,!dauup.com,34105,1,,,",0.01619778346121057,0.0076726342710997444,0.008525149190110827,0.9838022165387894,Naba Technology Investment Joint Stock Company,,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
232,flat-ads.com,,34102,PubNative,1,1,1,111300,1800,1800,0,109500,0.016173,1,"1.0,1!flat-ads.com,232,1,,,!pubnative.net,1016755,1,,,!dauup.com,34102,1,,,",0.016172506738544475,0.016172506738544475,0.0,0.9838274932614556,pebblemaster | Dobest | ReMedia | jdp,pebblemaster.com | dopuzgames.com | jpd.media,Bigo | Flat Ads | Kodio | Screencore,https://bigo.sg/sellers.json | https://www.flat-ads.com/sellers.json | https://adelion.com/sellers.json | https://screencore.io/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",PubNative,flat-ads.com
8CU26WG51,media.net,,34211,Illumin,1,1,1,2253200,36400,34900,1500,2216800,0.016155,1,"1.0,1!media.net,8CU26WG51,1,,,!admanmedia.com,993,1,,,!dauup.com,34211,1,,,",0.016154802059293448,0.015489082194212675,0.000665719865080774,0.9838451979407066,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Illumin,media.net
307938091,yandex.com,,34109,Displayio,1,1,1,334400,5400,1700,3700,329000,0.016148,1,"1.0,1!yandex.com,307938091,1,,,!display.io,156748,1,,,!dauup.com,34109,1,,,",0.016148325358851676,0.005083732057416268,0.011064593301435407,0.9838516746411483,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,yandex.com
209521,fyber.com,,34105,Digital Turbine,1,1,1,353100,5700,3700,2000,347400,0.016143,1,"1.0,1!fyber.com,209521,1,,,!dauup.com,34105,1,,,",0.016142735768903994,0.01047861795525347,0.005664117813650524,0.983857264231096,dcmob,thinkyeah.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
02268437,benefit.media,,34206,Pwr-Ads (streamstak),1,1,1,1833900,29600,24800,4800,1804300,0.01614,1,"1.0,1!benefit.media,02268437,1,,,!dauup.com,34206,1,,,",0.01614046567424614,0.013523092862206227,0.002617372812039915,0.9838595343257539,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Pwr-Ads (streamstak),benefit.media
210475,fyber.com,,34105 | 34163 | 34210 | 34167,Digital Turbine | E-planning | Rise | Lacuna,1,4,4,6045600,97400,80500,16900,5948200,0.017397,4,"1.0,1!fyber.com,210475,1,,,!dauup.com,34105,1,,, | 1.0,1!fyber.com,210475,1,,,!e-planning.net,d5311f35d49d7865,1,,,!dauup.com,34163,1,,, | 1.0,1!fyber.com,210475,1,,,!risecodes.com,6548dccf58df6d00010625d2,1,,,!dauup.com,34210,1,,, | 1.0,1!fyber.com,210475,1,,,!ushareit.com,LC13f68588aa4ee212,1,,,!dauup.com,34167,1,,,",0.016110890565039036,0.013315469101495302,0.0027954214635437344,0.983889109434961,Playsimple Games,playsimple.in,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine | E-planning | Rise | Lacuna,fyber.com
219143,fyber.com,,34105,Digital Turbine,1,1,1,105600,1700,900,800,103900,0.016098,1,"1.0,1!fyber.com,219143,1,,,!dauup.com,34105,1,,,",0.016098484848484848,0.008522727272727272,0.007575757575757576,0.9839015151515151,Skygo,skygogame.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
a38177e0f3214f2080208105ba778ed0,inmobi.com,,34103,InMobi,1,1,1,136700,2200,2100,100,134500,0.016094,1,"1.0,1!inmobi.com,a38177e0f3214f2080208105ba778ed0,1,,,!dauup.com,34103,1,,,",0.016093635698610095,0.015362106803218726,0.000731528895391368,0.9839063643013899,Woohoostudio-CN-Export,paintcolorstudios.com,Inmobi,https://www.inmobi.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",InMobi,inmobi.com
581860,lijit.com,,PA216,,1,2,2,727200,11700,11700,0,715500,0.016633,2,"1.0,1!lijit.com,581860,1,,,!voisetech.com,1401,1,,,!dauup.com,PA216,1,,, | 1.0,1!lijit.com,581860,1,,,!voisetech.com,1192,1,,,!dauup.com,PA216,1,,,",0.01608910891089109,0.01608910891089109,0.0,0.9839108910891089,Speroll Media LTD,speroll.com,Sovrn,https://lijit.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",,lijit.com
