seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
99911027748,bigo.sg,,34199,Mindtos,1,1,1,1038000,184600,57800,126800,853400,0.177842,1,"1.0,1!bigo.sg,99911027748,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",0.17784200385356455,0.05568400770712909,0.12215799614643545,0.8221579961464355,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,bigo.sg
40101,zmaticoo.com,,34197,zMaticoo,1,1,1,2644700,458300,443300,15000,2186400,0.17329,1,"1.0,1!zmaticoo.com,40101,1,,,!dauup.com,34197,1,,,",0.17328997617877265,0.16761825537868189,0.005671720800090748,0.8267100238212274,"Moonee Technology CO., Limited | Moco Space",ezekielflores.com | mocospace.com,zMaticoo | Dauup,https://zmaticoo.com/sellers.json | https://dauup.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,zmaticoo.com
maca7398339177c05,mindtos.com,,34199,Mindtos,2,54,54,41084100,7108400,7071600,36800,33975700,0.967189,54,"1.0,1!vungle.com,698a6771eea67583ba0bada3,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,5ce32f41e15f77001148e36d,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,64afadea4da41800114faaeb,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,5b2aad55ec47af23be0124fc,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,5f45fb2f150074001547df11,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,57d1b461ae2b57d903000027,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,5b1526a7de961d3317b1d475,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, | 1.0,1!vungle.com,5fe2fafd6013fb0015208652,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,, +46 more",0.17302070630730623,0.17212498265752443,0.0008957236497817891,0.8269792936926937,vungle,vungle.com,Mindtos Supply | Mindtos,https://www.mindtos.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,mindtos.com
a7937833-ff0d-4040-bbc8-7d1efca22cdc,aps.amazon.com,,34211,Illumin,1,1,1,1325100,224300,223500,800,1100800,0.16927,1,"1.0,1!aps.amazon.com,a7937833-ff0d-4040-bbc8-7d1efca22cdc,1,,,!admanmedia.com,726,1,,,!dauup.com,34211,1,,,",0.1692702437551883,0.16866651573466154,0.0006037280205267527,0.8307297562448117,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Illumin,aps.amazon.com
1502182,unity.com,,PA216 | 34109 | 34211,Displayio | Illumin,1,3,3,2073600,346400,339500,6900,1727200,0.199567,3,"1.0,1!unity.com,1502182,1,,,!voisetech.com,1066,1,,,!dauup.com,PA216,1,,, | 1.0,1!unity.com,1502182,1,,,!bidease.com,bidease_seller_20,1,,,!display.io,224469,1,,,!dauup.com,34109,1,,, | 1.0,1!unity.com,1502182,1,,,!admanmedia.com,2242,1,,,!dauup.com,34211,1,,,",0.16705246913580246,0.16372492283950618,0.0033275462962962963,0.8329475308641975,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio | Illumin,unity.com
f3269bf62d6948968aa6616655b7fae9,inmobi.com,,34103 | 34200 | 34158,InMobi | Blue Focus | AppoDeal,1,3,3,1709700,283800,283600,200,1425900,0.198358,3,"1.0,1!inmobi.com,f3269bf62d6948968aa6616655b7fae9,1,,,!dauup.com,34103,1,,, | 1.0,1!inmobi.com,f3269bf62d6948968aa6616655b7fae9,1,,,!bluexad.ai,1947919201712738304,1,,,!dauup.com,34200,1,,, | 1.0,1!inmobi.com,f3269bf62d6948968aa6616655b7fae9,1,,,!bidmachine.io,100,1,,,!dauup.com,34158,1,,,",0.16599403404105983,0.16587705445399778,0.00011697958706205768,0.8340059659589402,FIOGONIA LIMITED,fiogonia.com,Inmobi,https://www.inmobi.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",InMobi | Blue Focus | AppoDeal,inmobi.com
34155,dauup.com,,34155,OpenX,2 | 3,128,128,221914200,35891100,33592600,2298500,186023100,1.0,128,"1.0,1!openx.com,559898670,1,,,!dauup.com,34155,1,,, | 1.0,1!openx.com,564927338,1,,,!dauup.com,34155,1,,, | 1.0,1!openx.com,540309309,1,,,!dauup.com,34155,1,,, | 1.0,1!jambojar.com,20261979,1,,,!openx.com,562388597,1,,,!dauup.com,34155,1,,, | 1.0,1!openx.com,564972066,1,,,!dauup.com,34155,1,,, | 1.0,1!openx.com,559546846,1,,,!dauup.com,34155,1,,, | 1.0,0!openx.com,561520448,1,,,!dauup.com,34155,1,,, | 1.0,1!openx.com,560730136,1,,,!dauup.com,34155,1,,, +120 more",0.16173412967714548,0.15137652299852827,0.010357606678617232,0.8382658703228545,OpenX,openx.com,Dauup,https://dauup.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",OpenX,dauup.com
34221,dauup.com,,34221,,2,2,2,111217000,17915400,17330900,584500,93301600,0.163385,2,"1.0,0!vistarsagency.com,ctbg4tjp47is73ckdu6g,1,,,!dauup.com,34221,1,,, | yieldmo schain,0!vistarsagency.com,ctbg4tjp47is73ckdu6g,1,,,!dauup.com,34221,1,,,",0.1610850859131248,0.1558295943965401,0.0052554915165846944,0.8389149140868752,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",,dauup.com
ctbg4tjp47is73ckdu6g,vistarsagency.com,,34221,,1,2,2,111217000,17915400,17330900,584500,93301600,0.163385,2,"1.0,0!vistarsagency.com,ctbg4tjp47is73ckdu6g,1,,,!dauup.com,34221,1,,, | yieldmo schain,0!vistarsagency.com,ctbg4tjp47is73ckdu6g,1,,,!dauup.com,34221,1,,,",0.1610850859131248,0.1558295943965401,0.0052554915165846944,0.8389149140868752,ViSTARS Agency,vistars.ai,Vistars,https://vistars.ai/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",,vistarsagency.com
1100055987,smaato.com,,34104 | 34127,Smaato | Tredio,1,2,2,2217100,355200,354200,1000,1861900,0.190762,2,"1.0,1!smaato.com,1100055987,1,,,!dauup.com,34104,1,,, | 1.0,1!smaato.com,1100055987,1,,,!admanmedia.com,552,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",0.1602092823959226,0.15975824274953768,0.00045103964638491725,0.8397907176040774,Gimica GmbH - MAX,gimica.com,Smaato,https://www.smaato.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Smaato | Tredio,smaato.com
