sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number,schain_node_position,schain_asi_domain,seller_id,schain_hop_complete,schain_request_id,schain_node_name,schain_node_domain,schain_seller_key
34102,PubNative,"1.0,1!pubnative.net,1007686,1,,,!dauup.com,34102,1,,,",5809700,51200,0.008813,34200,0.005887,17000,0.0029,5758500,0.9911,253,2,dauup.com,34102,1,,,,dauup.com|34102
34155,OpenX,"1.0,1!openx.com,557914189,1,,,!dauup.com,34155,1,,,",5780000,43600,0.007543,40400,0.00699,3200,0.0005,5736400,0.9924,254,1,openx.com,557914189,1,,,,openx.com|557914189
34155,OpenX,"1.0,1!openx.com,557914189,1,,,!dauup.com,34155,1,,,",5780000,43600,0.007543,40400,0.00699,3200,0.0005,5736400,0.9924,254,2,dauup.com,34155,1,,,,dauup.com|34155
34155,OpenX,"1.0,1!jambojar.com,204114,1,,,!openx.com,562388597,1,,,!dauup.com,34155,1,,,",5768000,60700,0.010524,60100,0.01042,600,0.0001,5707300,0.9894,255,1,jambojar.com,204114,1,,,,jambojar.com|204114
34155,OpenX,"1.0,1!jambojar.com,204114,1,,,!openx.com,562388597,1,,,!dauup.com,34155,1,,,",5768000,60700,0.010524,60100,0.01042,600,0.0001,5707300,0.9894,255,2,openx.com,562388597,1,,,,openx.com|562388597
34155,OpenX,"1.0,1!jambojar.com,204114,1,,,!openx.com,562388597,1,,,!dauup.com,34155,1,,,",5768000,60700,0.010524,60100,0.01042,600,0.0001,5707300,0.9894,255,3,dauup.com,34155,1,,,,dauup.com|34155
34211,Illumin,"1.0,1!lijit.com,481808,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",5691800,22500,0.003953,20600,0.003619,1900,0.0003,5669300,0.996,256,1,lijit.com,481808,1,,,,lijit.com|481808
34211,Illumin,"1.0,1!lijit.com,481808,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",5691800,22500,0.003953,20600,0.003619,1900,0.0003,5669300,0.996,256,2,admanmedia.com,2068,1,,,,admanmedia.com|2068
34211,Illumin,"1.0,1!lijit.com,481808,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",5691800,22500,0.003953,20600,0.003619,1900,0.0003,5669300,0.996,256,3,dauup.com,34211,1,,,,dauup.com|34211
34167,Lacuna,"1.0,1!ushareit.com,LC15918374d281ae9d,1,,,!dauup.com,34167,1,,,",5673800,2614900,0.460873,2550300,0.449487,64600,0.0113,3058900,0.5391,257,1,ushareit.com,LC15918374d281ae9d,1,,,,ushareit.com|LC15918374d281ae9d
34167,Lacuna,"1.0,1!ushareit.com,LC15918374d281ae9d,1,,,!dauup.com,34167,1,,,",5673800,2614900,0.460873,2550300,0.449487,64600,0.0113,3058900,0.5391,257,2,dauup.com,34167,1,,,,dauup.com|34167
34104,Smaato,"1.0,1!smaato.com,1100042541,1,,,!dauup.com,34104,1,,,",5630100,109700,0.019485,105800,0.018792,3900,0.0006,5520400,0.9805,258,1,smaato.com,1100042541,1,,,,smaato.com|1100042541
34104,Smaato,"1.0,1!smaato.com,1100042541,1,,,!dauup.com,34104,1,,,",5630100,109700,0.019485,105800,0.018792,3900,0.0006,5520400,0.9805,258,2,dauup.com,34104,1,,,,dauup.com|34104
34105,Digital Turbine,"1.0,1!fyber.com,226663,1,,,!dauup.com,34105,1,,,",5621000,26000,0.004626,20800,0.0037,5200,0.0009,5595000,0.9953,259,1,fyber.com,226663,1,,,,fyber.com|226663
34105,Digital Turbine,"1.0,1!fyber.com,226663,1,,,!dauup.com,34105,1,,,",5621000,26000,0.004626,20800,0.0037,5200,0.0009,5595000,0.9953,259,2,dauup.com,34105,1,,,,dauup.com|34105
34141,Ogury,"1.0,1!ogury.com,cb907cf2-f2b7-4555-a7a7-ce24309440e6,1,,,!dauup.com,34141,1,,,",5586600,207700,0.037178,195300,0.034959,12400,0.0022,5378900,0.9628,260,1,ogury.com,cb907cf2-f2b7-4555-a7a7-ce24309440e6,1,,,,ogury.com|cb907cf2-f2b7-4555-a7a7-ce24309440e6
34141,Ogury,"1.0,1!ogury.com,cb907cf2-f2b7-4555-a7a7-ce24309440e6,1,,,!dauup.com,34141,1,,,",5586600,207700,0.037178,195300,0.034959,12400,0.0022,5378900,0.9628,260,2,dauup.com,34141,1,,,,dauup.com|34141
34211,Illumin,"1.0,1!admanmedia.com,2142,1,,,!dauup.com,34211,1,,,",5501200,53900,0.009798,51900,0.009434,2000,0.0003,5447300,0.9902,261,1,admanmedia.com,2142,1,,,,admanmedia.com|2142
34211,Illumin,"1.0,1!admanmedia.com,2142,1,,,!dauup.com,34211,1,,,",5501200,53900,0.009798,51900,0.009434,2000,0.0003,5447300,0.9902,261,2,dauup.com,34211,1,,,,dauup.com|34211
34154,CadentTV,"1.0,1!ssp.cadent.com,2643,1,,,!dauup.com,34154,1,,,",5489400,77500,0.014118,18400,0.003352,59100,0.0107,5411900,0.9858,262,1,ssp.cadent.com,2643,1,,,,ssp.cadent.com|2643
34154,CadentTV,"1.0,1!ssp.cadent.com,2643,1,,,!dauup.com,34154,1,,,",5489400,77500,0.014118,18400,0.003352,59100,0.0107,5411900,0.9858,262,2,dauup.com,34154,1,,,,dauup.com|34154
34199,Mindtos,"1.0,1!bigo.sg,1114261,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5473200,5220800,0.953884,5219100,0.953574,1700,0.0003,252400,0.0461,263,1,bigo.sg,1114261,1,,,,bigo.sg|1114261
34199,Mindtos,"1.0,1!bigo.sg,1114261,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5473200,5220800,0.953884,5219100,0.953574,1700,0.0003,252400,0.0461,263,2,mindtos.com,mt0b219ff842ee3772,1,,,,mindtos.com|mt0b219ff842ee3772
34199,Mindtos,"1.0,1!bigo.sg,1114261,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5473200,5220800,0.953884,5219100,0.953574,1700,0.0003,252400,0.0461,263,3,dauup.com,34199,1,,,,dauup.com|34199
34138,Nexxen,"1.0,1!unrulymedia.com,7705822574822711204,1,,,!dauup.com,34138,1,,,",5454300,14200,0.002603,14000,0.002567,200,0.0,5440100,0.9973,264,1,unrulymedia.com,7705822574822711204,1,,,,unrulymedia.com|7705822574822711204
34138,Nexxen,"1.0,1!unrulymedia.com,7705822574822711204,1,,,!dauup.com,34138,1,,,",5454300,14200,0.002603,14000,0.002567,200,0.0,5440100,0.9973,264,2,dauup.com,34138,1,,,,dauup.com|34138
34134,FutureToday,"1.0,0!dauup.com,34134,1,,,",5434100,19900,0.003662,16400,0.003018,3500,0.0006,5414200,0.9963,265,1,dauup.com,34134,1,,,,dauup.com|34134
34102,PubNative,"1.0,1!pubnative.net,1007949,1,,,!dauup.com,34102,1,,,",5430000,248000,0.045672,243100,0.04477,4900,0.0009,5182000,0.9543,266,1,pubnative.net,1007949,1,,,,pubnative.net|1007949
34102,PubNative,"1.0,1!pubnative.net,1007949,1,,,!dauup.com,34102,1,,,",5430000,248000,0.045672,243100,0.04477,4900,0.0009,5182000,0.9543,266,2,dauup.com,34102,1,,,,dauup.com|34102
34103,InMobi,"1.0,1!inmobi.com,717b8579312b41a885a36d647e4bc5ce,1,,,!dauup.com,34103,1,,,",5425500,59200,0.010911,34000,0.006267,25200,0.0046,5366300,0.989,267,1,inmobi.com,717b8579312b41a885a36d647e4bc5ce,1,,,,inmobi.com|717b8579312b41a885a36d647e4bc5ce
34103,InMobi,"1.0,1!inmobi.com,717b8579312b41a885a36d647e4bc5ce,1,,,!dauup.com,34103,1,,,",5425500,59200,0.010911,34000,0.006267,25200,0.0046,5366300,0.989,267,2,dauup.com,34103,1,,,,dauup.com|34103
34103,InMobi,"1.0,1!inmobi.com,8b85ffe345f24785aef6b0d5d3fa2356,1,,,!dauup.com,34103,1,,,",5422900,36600,0.006749,36200,0.006675,400,0.0,5386300,0.9932,268,1,inmobi.com,8b85ffe345f24785aef6b0d5d3fa2356,1,,,,inmobi.com|8b85ffe345f24785aef6b0d5d3fa2356
34103,InMobi,"1.0,1!inmobi.com,8b85ffe345f24785aef6b0d5d3fa2356,1,,,!dauup.com,34103,1,,,",5422900,36600,0.006749,36200,0.006675,400,0.0,5386300,0.9932,268,2,dauup.com,34103,1,,,,dauup.com|34103
34109,Displayio,"1.0,1!yandex.com,102236477,1,,,!display.io,156748,1,,,!dauup.com,34109,1,,,",5377700,69800,0.01298,10300,0.001915,59500,0.011,5307900,0.987,269,1,yandex.com,102236477,1,,,,yandex.com|102236477
34109,Displayio,"1.0,1!yandex.com,102236477,1,,,!display.io,156748,1,,,!dauup.com,34109,1,,,",5377700,69800,0.01298,10300,0.001915,59500,0.011,5307900,0.987,269,2,display.io,156748,1,,,,display.io|156748
34109,Displayio,"1.0,1!yandex.com,102236477,1,,,!display.io,156748,1,,,!dauup.com,34109,1,,,",5377700,69800,0.01298,10300,0.001915,59500,0.011,5307900,0.987,269,3,dauup.com,34109,1,,,,dauup.com|34109
34106,AlgoriX,"1.0,1!algorix.co,604506,1,,,!dauup.com,34106,1,,,",5358200,49600,0.009257,42000,0.007838,7600,0.0014,5308600,0.9907,270,1,algorix.co,604506,1,,,,algorix.co|604506
34106,AlgoriX,"1.0,1!algorix.co,604506,1,,,!dauup.com,34106,1,,,",5358200,49600,0.009257,42000,0.007838,7600,0.0014,5308600,0.9907,270,2,dauup.com,34106,1,,,,dauup.com|34106
34202,Ignite Media,"1.0,1!fyber.com,208585,1,,,!ignitemediatech.com,pub_11117,1,,,!dauup.com,34202,1,,,",5319700,10400,0.001955,10200,0.001917,200,0.0,5309300,0.998,271,1,fyber.com,208585,1,,,,fyber.com|208585
34202,Ignite Media,"1.0,1!fyber.com,208585,1,,,!ignitemediatech.com,pub_11117,1,,,!dauup.com,34202,1,,,",5319700,10400,0.001955,10200,0.001917,200,0.0,5309300,0.998,271,2,ignitemediatech.com,pub_11117,1,,,,ignitemediatech.com|pub_11117
34202,Ignite Media,"1.0,1!fyber.com,208585,1,,,!ignitemediatech.com,pub_11117,1,,,!dauup.com,34202,1,,,",5319700,10400,0.001955,10200,0.001917,200,0.0,5309300,0.998,271,3,dauup.com,34202,1,,,,dauup.com|34202
34105,Digital Turbine,"1.0,1!fyber.com,208463,1,,,!dauup.com,34105,1,,,",5298400,106600,0.020119,95200,0.017968,11400,0.0021,5191800,0.9798,272,1,fyber.com,208463,1,,,,fyber.com|208463
34105,Digital Turbine,"1.0,1!fyber.com,208463,1,,,!dauup.com,34105,1,,,",5298400,106600,0.020119,95200,0.017968,11400,0.0021,5191800,0.9798,272,2,dauup.com,34105,1,,,,dauup.com|34105
34105,Digital Turbine,"1.0,1!fyber.com,209563,1,,,!dauup.com,34105,1,,,",5297800,293800,0.055457,258400,0.048775,35400,0.0066,5004000,0.9445,273,1,fyber.com,209563,1,,,,fyber.com|209563
34105,Digital Turbine,"1.0,1!fyber.com,209563,1,,,!dauup.com,34105,1,,,",5297800,293800,0.055457,258400,0.048775,35400,0.0066,5004000,0.9445,273,2,dauup.com,34105,1,,,,dauup.com|34105
34199,Mindtos,"1.0,1!vungle.com,64afadea4da41800114faaeb,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,,",5296400,583700,0.110207,583500,0.110169,200,0.0,4712700,0.8897,274,1,vungle.com,64afadea4da41800114faaeb,1,,,,vungle.com|64afadea4da41800114faaeb
34199,Mindtos,"1.0,1!vungle.com,64afadea4da41800114faaeb,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,,",5296400,583700,0.110207,583500,0.110169,200,0.0,4712700,0.8897,274,2,mindtos.com,maca7398339177c05,1,,,,mindtos.com|maca7398339177c05
34199,Mindtos,"1.0,1!vungle.com,64afadea4da41800114faaeb,1,,,!mindtos.com,maca7398339177c05,1,,,!dauup.com,34199,1,,,",5296400,583700,0.110207,583500,0.110169,200,0.0,4712700,0.8897,274,3,dauup.com,34199,1,,,,dauup.com|34199
34197,zMaticoo,"1.0,1!zmaticoo.com,63510,1,,,!dauup.com,34197,1,,,",5292900,135900,0.025676,127100,0.024013,8800,0.0016,5157000,0.9743,275,1,zmaticoo.com,63510,1,,,,zmaticoo.com|63510
34197,zMaticoo,"1.0,1!zmaticoo.com,63510,1,,,!dauup.com,34197,1,,,",5292900,135900,0.025676,127100,0.024013,8800,0.0016,5157000,0.9743,275,2,dauup.com,34197,1,,,,dauup.com|34197
34115,Opera,"1.0,1!indicue.com,3781,1,,,!pubmatic.com,165230,1,,,!opera.com,pub8730968190912,1,,,!dauup.com,34115,1,,,",5278900,208000,0.039402,203300,0.038512,4700,0.0008,5070900,0.9605,276,1,indicue.com,3781,1,,,,indicue.com|3781
34115,Opera,"1.0,1!indicue.com,3781,1,,,!pubmatic.com,165230,1,,,!opera.com,pub8730968190912,1,,,!dauup.com,34115,1,,,",5278900,208000,0.039402,203300,0.038512,4700,0.0008,5070900,0.9605,276,2,pubmatic.com,165230,1,,,,pubmatic.com|165230
34115,Opera,"1.0,1!indicue.com,3781,1,,,!pubmatic.com,165230,1,,,!opera.com,pub8730968190912,1,,,!dauup.com,34115,1,,,",5278900,208000,0.039402,203300,0.038512,4700,0.0008,5070900,0.9605,276,3,opera.com,pub8730968190912,1,,,,opera.com|pub8730968190912
34115,Opera,"1.0,1!indicue.com,3781,1,,,!pubmatic.com,165230,1,,,!opera.com,pub8730968190912,1,,,!dauup.com,34115,1,,,",5278900,208000,0.039402,203300,0.038512,4700,0.0008,5070900,0.9605,276,4,dauup.com,34115,1,,,,dauup.com|34115
34199,Mindtos,"1.0,1!mindtos.com,mt60ba371e21358e6e,1,,,!dauup.com,34199,1,,,",5276800,4744000,0.89903,4743700,0.898973,300,0.0,532800,0.1009,277,1,mindtos.com,mt60ba371e21358e6e,1,,,,mindtos.com|mt60ba371e21358e6e
34199,Mindtos,"1.0,1!mindtos.com,mt60ba371e21358e6e,1,,,!dauup.com,34199,1,,,",5276800,4744000,0.89903,4743700,0.898973,300,0.0,532800,0.1009,277,2,dauup.com,34199,1,,,,dauup.com|34199
